"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hsp26",3.97959800079548e-60,-1.7220736419429,0.146,0.365,4.98922201359729e-56
"LysB",2.2901488628496e-59,-2.52454276335741,0.028,0.155,2.87115962935455e-55
"lncRNA:CR34335",5.9228420093209e-59,-0.6009931516378,0.847,0.96,7.42546702708562e-55
"GstD1",3.0744637854192e-57,-1.31797534579044,0.278,0.521,3.85445524778005e-53
"Nlg1",2.18226129305938e-56,0.970520903503417,0.759,0.523,2.73590098310854e-52
"Cp38",6.76579609823055e-55,-1.74007512458071,0.106,0.298,8.48227856835164e-51
"lncRNA:Hsromega",7.79559888865072e-54,-0.490514020445405,0.944,0.976,9.77334232670141e-50
"Hsp70Ab",4.04289787758551e-53,-1.82221367340147,0.121,0.312,5.06858106912895e-49
"sals",1.03456657830561e-52,0.848004691741246,0.792,0.579,1.29703611922175e-48
"RpLP1",7.65471034669629e-52,-1.26819727238887,0.272,0.494,9.59671036165314e-48
"CG10077",3.66731996680597e-51,0.865543315821536,0.783,0.573,4.59771904238465e-47
"bru1",1.03995979087205e-46,0.73155955662861,0.916,0.818,1.30379758981628e-42
"Lk6",1.02965532921679e-44,-0.729670334817473,0.704,0.836,1.29087888623908e-40
"CG7720",1.44839201003632e-44,0.528798994458197,0.962,0.861,1.81584906298253e-40
"CG15617",1.91053920716742e-44,2.60487921523088,0.308,0.082,2.39524300402579e-40
"Hsp83",3.60741665564819e-44,-1.1281108391926,0.408,0.595,4.52261826118613e-40
"Usp2",6.72722947134334e-44,0.666024136221659,0.863,0.717,8.43392758822314e-40
"AP-1gamma",6.15344349751844e-43,1.54048097776957,0.405,0.158,7.71457211283887e-39
"Sema1b",9.93931264895823e-43,2.22644219409066,0.331,0.104,1.24609162679989e-38
"Yp2",1.14939090235859e-42,-0.951276443772882,0.418,0.613,1.44099137428697e-38
"w",7.24233379404612e-41,-2.63202225045638,0.034,0.141,9.07971387759562e-37
"Xrp1",2.08844013376214e-40,0.816271753130208,0.751,0.554,2.6182773956976e-36
"CanA1",3.6091133219128e-40,0.983223526637623,0.624,0.395,4.52474537168208e-36
"Vm34Ca",9.5411346269673e-40,-0.778715033371191,0.562,0.727,1.19617204818289e-35
"Hsp68",2.23226134512602e-39,-2.6725850931863,0.033,0.136,2.7985860483845e-35
"CG32369",5.79144599819637e-39,-1.13829914385364,0.234,0.433,7.26073584793879e-35
"Pfk",1.23995075828865e-38,1.03038638871553,0.58,0.353,1.55452626566648e-34
"cwo",1.36646418608709e-38,-1.50811244583593,0.154,0.327,1.71313615009739e-34
