"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ush",8.31687859477839e-06,0.278366010360115,0.1,0.083,0.104268706942737
"AMPdeam",8.4626527334994e-06,0.266876983261334,0.289,0.268,0.106096277319882
"mahe",9.42488661956683e-06,-0.2568308915232,0.131,0.151,0.118159803549509
"g",1.07661499163731e-05,0.325486809861272,0.163,0.143,0.13497522150157
"Sec16",1.13432749454785e-05,0.311140277310269,0.225,0.206,0.142210637991464
"CG8036",1.14242311339825e-05,-0.304754654937871,0.134,0.153,0.143225585726739
"dtn",1.15658947245e-05,0.280296698355704,0.134,0.115,0.145001622161056
"Pde9",1.25501277095757e-05,-0.257606874146221,0.212,0.232,0.15734095109495
"cue",1.40712884224517e-05,-0.363726813220286,0.097,0.114,0.176411742952277
"Gclm",1.68077949043335e-05,-0.336240732786379,0.1,0.117,0.210719324715629
"tty",1.89004175821745e-05,0.322101074442259,0.109,0.092,0.236954535227722
"tun",1.95305887505466e-05,0.343812986821765,0.243,0.225,0.244854991165602
"sdt",2.15779719892994e-05,0.265284799944005,0.192,0.172,0.270523034829847
"Dg",3.70422414692222e-05,0.30168140381182,0.169,0.15,0.464398581299638
"cher",3.85977392675752e-05,0.266293000668128,0.268,0.248,0.48389985719759
"CG2747",3.93537154675264e-05,0.347156152106266,0.166,0.148,0.493377530816379
"sli",4.2086999904626e-05,0.29527611581502,0.111,0.095,0.527644717804296
"Hr39",4.75161153189096e-05,-0.254504053020912,0.201,0.22,0.59570953775317
"CG2926",4.77949561141764e-05,0.271251290921549,0.162,0.144,0.59920536480343
"Culd",5.98678159150754e-05,0.582317169080163,0.132,0.118,0.7505628081273
"ctp",6.10018001842429e-05,0.264192016813961,0.274,0.256,0.764779568909853
"nAChRalpha3",6.61081275801876e-05,0.316073285889314,0.143,0.125,0.828797595472812
"wts",7.32750335704923e-05,0.26992456509576,0.222,0.204,0.918649095873262
"pst",7.74501188852233e-05,-0.299117867810298,0.206,0.222,0.970992140464044
"CG7028",7.86058145289871e-05,0.34866331168542,0.135,0.119,0.985481096749912
"vig",9.03584415378355e-05,0.282903297470178,0.147,0.131,1
"CG10512",9.60064492035303e-05,0.522243240552443,0.116,0.103,1
"Akap200",0.000103715648234529,0.259564430649288,0.208,0.191,1
"lncRNA:let7C",0.000112519753168892,0.275405025378048,0.243,0.226,1
"Mondo",0.000127041836147459,-0.379418303505296,0.215,0.227,1
"DopEcR",0.000127111703181714,-0.423070756586441,0.099,0.114,1
"rgn",0.000130121985703998,0.255465419332085,0.194,0.175,1
"RhoGAP100F",0.000130861764916878,0.409329453173885,0.13,0.116,1
"CG2201",0.000142225891476944,-0.287159788606872,0.175,0.192,1
"CG10311",0.00015712608018029,0.251276324349289,0.201,0.184,1
"Synd",0.000178920502448209,0.367912583065509,0.111,0.097,1
"Gpat4",0.000190985701469429,0.273127872033797,0.124,0.109,1
"CG8963",0.000191974299940697,0.29805969229143,0.12,0.105,1
"CG8485",0.000195712929948647,0.502658624400883,0.102,0.089,1
"eIF2Bdelta",0.00020264897335395,0.319905384581691,0.101,0.087,1
"CG10948",0.000213928677856232,0.323873722076356,0.138,0.122,1
"Btk29A",0.00022048539889713,-0.325359551711746,0.173,0.19,1
"Patronin",0.000234001031578458,0.257022503894576,0.248,0.233,1
"VhaSFD",0.000236527951264714,0.291282224537218,0.192,0.175,1
"Vha55",0.000245643388979483,0.253984309829628,0.241,0.225,1
"tho2",0.000309686670702263,0.271809247404343,0.122,0.107,1
"CG7065",0.00031064320603812,0.252044254634158,0.132,0.117,1
"Src64B",0.000353469781312732,0.277942849739878,0.172,0.156,1
"Usp10",0.000370762507618292,0.263116282012748,0.149,0.133,1
"CG6707",0.000372292786582546,0.367027869557776,0.134,0.121,1
"sug",0.000554144242408585,0.875547363742677,0.123,0.113,1
"CG6503",0.0007628073721443,0.488114875133184,0.233,0.219,1
"dpr8",0.000794350966080029,0.404558350760888,0.107,0.095,1
"CG31637",0.000809552245396158,0.475546423472809,0.128,0.115,1
"CG3662",0.000895511405528933,0.29917944754438,0.104,0.091,1
"Nckx30C",0.000945698512383987,0.417484447056692,0.156,0.144,1
"CG31689",0.00103400342940073,0.298819138095807,0.219,0.204,1
"CG2993",0.00108827127547647,-0.474413545809027,0.093,0.105,1
"hwt",0.00129181599111637,-0.262480098271894,0.136,0.15,1
"CG3655",0.00141538735984152,0.293248634656503,0.101,0.089,1
"SCAR",0.00142723521962273,0.388867410776587,0.104,0.093,1
"CG10383",0.00173221448013037,0.497419487116271,0.134,0.153,1
"CG15431",0.00176960697713074,0.304743144234377,0.122,0.11,1
"unc-104",0.00196763262966531,-0.383431663999025,0.162,0.175,1
"sif",0.00202185095936044,-0.253192626101688,0.118,0.131,1
"CG32085",0.00218815399734994,0.337437619775935,0.122,0.111,1
"CG45263",0.00228787525715637,0.337299728606177,0.128,0.116,1
"Kif3C",0.00393464761824725,0.394703430443995,0.112,0.102,1
"CG45076",0.00407803000111863,0.408826587695692,0.203,0.228,1
"CG42700",0.00411449226913418,0.345656726481894,0.253,0.245,1
"didum",0.00414967807163281,-0.339875696692694,0.112,0.123,1
"bbg",0.00511648587118409,0.443230300107086,0.138,0.128,1
"Liprin-alpha",0.00514656526713186,0.291726733261789,0.121,0.11,1
"capu",0.00541165278373261,0.364214956060813,0.12,0.11,1
"FASN1",0.00550431976643877,0.362933331988061,0.191,0.212,1
"CG4587",0.00557090675347587,-0.350870437558676,0.099,0.109,1
"mgl",0.00658662813195717,0.412150177172917,0.235,0.226,1
"CG42268",0.00664893115627713,0.31701449329861,0.181,0.172,1
"CG10960",0.00675311661847574,0.278686901048545,0.158,0.173,1
"CG4716",0.00675320103576017,0.256923243132435,0.206,0.229,1
"Hs3st-A",0.00701115105530356,-0.255739862018051,0.112,0.122,1
"CG42340",0.00722565746694283,0.307910992876523,0.109,0.098,1
"nAChRalpha6",0.00730701545772087,0.363779577774129,0.119,0.109,1
"ari-1",0.00804654244044537,0.278768441203341,0.185,0.175,1
"mrj",0.00806577140890138,-0.324181981957396,0.183,0.194,1
"nAChRalpha7",0.00897965645915075,0.326886576776812,0.133,0.123,1
"CG33298",0.00955854179347224,0.292074221815385,0.217,0.21,1
"nAChRalpha5",0.010883896189891,0.478007518335828,0.134,0.126,1
